train_size_category,test_roc_auc,test_balanced_accuracy,fold-site,classifier,feature_type,atlas,dataset
200,0.873015873015873,0.7261904761904763,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6306089743589743,0.5913461538461539,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6361842105263158,0.6177631578947369,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6408668730650156,0.5921052631578947,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.7679012345679013,0.6333333333333333,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6274509803921569,0.5980392156862745,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6303258145363407,0.5855263157894737,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.642512077294686,0.606280193236715,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.7257142857142858,0.6621428571428571,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.5885989010989011,0.5398351648351648,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6496913580246914,0.6319444444444444,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6521739130434783,0.5962732919254659,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.8888888888888888,0.7738095238095238,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.594551282051282,0.5600961538461539,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.656578947368421,0.6414473684210527,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6656346749226006,0.618421052631579,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.7777777777777777,0.7027777777777777,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.803921568627451,0.7352941176470589,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6560150375939849,0.638157894736842,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6811594202898551,0.5845410628019324,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6885714285714286,0.64,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6236263736263736,0.6181318681318682,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6867283950617283,0.6689814814814815,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6863354037267081,0.6174948240165632,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.8174603174603174,0.7261904761904763,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6338141025641026,0.5584935897435898,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6157894736842106,0.6019736842105263,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.684984520123839,0.6215170278637772,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
